Order_ID,Purchase_Date,Customer_Age,Customer_Segment,Region,Product_Category,Product_Price,Discount_Percent,Promotion_Type,Purchase_Channel,Payment_Method,Shipping_Method,Delivery_Time_Days,Items_In_Order,Previous_Orders,Prior_Return_Count,Product_Rating,Size_Fit_Issue_Level,Product_Page_Views,Customer_Support_Contact,Return_Window_Days,Returned
ORD-10438,04/01/2026,28,Returning Customer,Alberta,Home & Kitchen,417.03,0,No Promotion,Mobile App,Debit Card,Standard,4,1,12,0,3.7,Low,7,No,45,No
ORD-10420,22/04/2026,34,New Customer,Atlantic Canada,Accessories,130.66,15,Percentage Discount,Website,Credit Card,Standard,3,3,2,0,3.2,Low,3,No,45,No
ORD-10311,03/01/2026,35,New Customer,Prairies,Beauty,324.51,30,Percentage Discount,Website,PayPal,Standard,5,1,2,0,4.3,Low,2,No,60,No
ORD-10084,11/05/2026,48,VIP Customer,Atlantic Canada,Footwear,50.91,5,Free Shipping,Marketplace,Buy Now Pay Later,Express,2,2,37,3,4.8,High,1,No,45,Yes
ORD-10398,13/05/2026,25,Returning Customer,Alberta,Apparel,217.44,10,Bundle Offer,Website,Buy Now Pay Later,Same-Day,1,2,0,0,4.9,High,4,No,14,Yes
ORD-10286,26/05/2026,18,Returning Customer,Prairies,Electronics,,10,Percentage Discount,Website,Credit Card,Standard,7,1,17,2,3.2,Low,9,No,14,No
ORD-10063,18/01/2026,25,New Customer,Alberta,Home & Kitchen,159.83,0,No Promotion,Mobile App,Credit Card,Standard,6,2,2,0,4.6,Low,5,No,60,No
ORD-10159,07/03/2026,25,Discount Shopper,Prairies,Apparel,147.5,0,No Promotion,Marketplace,PayPal,Standard,4,3,0,3,3.9,Medium,1,No,14,No
ORD-10316,25/01/2026,64,VIP Customer,Atlantic Canada,Accessories,143.51,10,Free Shipping,Mobile App,Credit Card,Express,1,1,36,3,4.9,Low,6,No,60,No
ORD-10273,30/01/2026,45,Returning Customer,Atlantic Canada,Electronics,265.09,15,Bundle Offer,Marketplace,PayPal,Express,2,4,9,0,4.7,Medium,3,No,45,No
ORD-10422,06/02/2026,33,Returning Customer,Ontario,Apparel,227.12,10,Percentage Discount,Mobile App,Credit Card,Express,2,1,12,1,3.9,High,1,No,14,Yes
ORD-10419,13/04/2026,53,New Customer,British Columbia,Apparel,221.37,0,No Promotion,Mobile App,Credit Card,Express,1,2,0,0,3.6,Low,7,No,30,No
ORD-10223,08/03/2026,41,Returning Customer,,Beauty,388.96,5,Free Shipping,Marketplace,Credit Card,Express,1,2,17,2,3.6,Low,1,No,45,No
ORD-10314,27/02/2026,47,Returning Customer,British Columbia,Apparel,119.05,15,Bundle Offer,Mobile App,Credit Card,Express,2,2,7,3,4.3,Medium,2,Yes,60,No
ORD-10410,18/02/2026,29,Returning Customer,Alberta,Beauty,108.78,20,Percentage Discount,Mobile App,Buy Now Pay Later,Standard,3,3,16,0,3.4,High,5,No,14,No
ORD-10089,04/03/2026,19,Returning Customer,Prairies,Beauty,182.12,15,Bundle Offer,Mobile App,Credit Card,Same-Day,0,2,6,1,3.3,Medium,1,No,60,Yes
ORD-10006,17/05/2026,49,Returning Customer,Atlantic Canada,Footwear,234.83,5,Bundle Offer,Website,Debit Card,Express,2,2,16,0,4,Low,3,No,14,No
ORD-10414,12/02/2026,32,Returning Customer,Prairies,Apparel,64.34,0,No Promotion,Mobile App,PayPal,Standard,4,3,1,0,3.5,High,7,No,60,No
ORD-10262,09/05/2026,39,Returning Customer,Ontario,Home & Kitchen,332.51,30,Percentage Discount,Marketplace,PayPal,Standard,3,1,11,0,4.9,High,1,No,30,Yes
ORD-10423,18/03/2026,24,Discount Shopper,Quebec,Home & Kitchen,20.59,5,Free Shipping,Website,Credit Card,Express,1,3,24,2,4.2,Low,8,No,30,No
ORD-10187,25/03/2026,21,Returning Customer,Ontario,Apparel,76.59,15,Percentage Discount,Website,Credit Card,Same-Day,0,1,14,2,3.7,Medium,8,No,60,No
ORD-10092,16/01/2026,44,Returning Customer,Alberta,Accessories,92.6,40,Percentage Discount,Mobile App,Debit Card,Standard,4,1,8,0,,Low,9,Yes,45,No
ORD-10369,21/02/2026,32,VIP Customer,Alberta,Electronics,466.8,0,No Promotion,Marketplace,Credit Card,Same-Day,0,1,34,1,3.6,Low,6,No,30,Yes
ORD-10142,17/03/2026,27,Discount Shopper,Quebec,Footwear,309.53,0,No Promotion,Marketplace,PayPal,Standard,5,2,20,1,4,High,2,No,30,Yes
ORD-10184,27/03/2026,18,Discount Shopper,Alberta,Apparel,153.18,0,No Promotion,Website,Credit Card,Express,3,2,5,3,5,Medium,7,No,30,No
ORD-10156,15/02/2026,60,Returning Customer,Atlantic Canada,Electronics,310.16,0,No Promotion,Website,PayPal,Express,2,3,14,0,3.4,Low,1,No,45,No
ORD-10301,03/04/2026,39,New Customer,British Columbia,Accessories,95.87,0,Free Shipping,Website,Credit Card,Standard,5,2,0,0,2.2,Medium,2,No,30,No
ORD-10079,16/04/2026,30,Discount Shopper,British Columbia,Electronics,140.85,5,Free Shipping,Marketplace,Credit Card,Same-Day,1,3,7,1,4,Low,9,No,30,Yes
ORD-10130,27/01/2026,50,New Customer,Ontario,Home & Kitchen,186.7,0,No Promotion,Website,PayPal,Standard,7,1,1,1,4,Low,10,No,30,No
ORD-10441,07/01/2026,46,New Customer,British Columbia,Electronics,408.39,0,No Promotion,Mobile App,Debit Card,Standard,6,1,0,0,5,Low,5,Yes,45,No
ORD-10290,17/02/2026,32,Returning Customer,Atlantic Canada,Home & Kitchen,283.95,15,Percentage Discount,Mobile App,Credit Card,Express,2,3,7,1,3.8,Medium,1,No,60,No
ORD-10062,08/05/2026,46,Returning Customer,Atlantic Canada,Accessories,92.32,40,Percentage Discount,Marketplace,Credit Card,Express,2,2,10,0,4.5,Low,2,No,14,No
ORD-10239,28/03/2026,36,New Customer,Ontario,Apparel,39.65,10,Free Shipping,Mobile App,PayPal,Standard,3,2,0,0,2.3,High,5,Yes,45,Yes
ORD-10200,25/03/2026,33,Returning Customer,Atlantic Canada,Apparel,140.9,0,Free Shipping,Marketplace,Debit Card,Same-Day,1,1,5,1,4.1,Medium,3,Yes,45,No
ORD-10172,16/04/2026,24,Returning Customer,Quebec,Beauty,33.75,30,Percentage Discount,Website,PayPal,Standard,5,1,14,4,4.2,Low,9,No,14,Yes
ORD-10101,25/05/2026,45,VIP Customer,Quebec,Footwear,169.55,5,Free Shipping,Mobile App,Credit Card,Standard,5,6,15,1,4.4,Medium,6,No,14,No
ORD-10090,03/05/2026,25,Returning Customer,Atlantic Canada,Electronics,286.72,40,Percentage Discount,Website,PayPal,Standard,4,2,10,1,3.5,Low,11,No,45,No
ORD-10240,25/01/2026,60,VIP Customer,Prairies,Apparel,176.14,0,Free Shipping,Website,Debit Card,Standard,7,5,28,1,4,Low,9,No,14,No
ORD-10269,16/04/2026,28,Returning Customer,Alberta,Beauty,289.95,20,Percentage Discount,Mobile App,Credit Card,Express,2,1,4,1,4,Medium,2,No,14,No
ORD-10254,13/04/2026,40,Returning Customer,Quebec,Accessories,33.41,15,Bundle Offer,Website,Buy Now Pay Later,Standard,5,3,4,4,3.8,Low,1,No,14,No
ORD-10440,02/03/2026,41,Returning Customer,Ontario,Apparel,127.4,0,No Promotion,Website,PayPal,Express,1,2,4,2,5,High,5,No,45,Yes
ORD-10335,24/03/2026,41,New Customer,Prairies,Apparel,205.52,10,Free Shipping,Website,PayPal,Standard,7,1,0,0,4.6,Medium,3,No,30,Yes
ORD-10345,05/05/2026,24,New Customer,Ontario,Apparel,60.61,10,Percentage Discount,Website,Debit Card,Standard,3,3,1,1,4.3,Low,5,No,45,No
ORD-10341,31/05/2026,40,VIP Customer,Alberta,Apparel,91.31,40,Percentage Discount,Website,Debit Card,Standard,6,2,28,2,4.1,High,7,No,60,No
ORD-10123,22/01/2026,41,VIP Customer,British Columbia,Apparel,116.06,0,No Promotion,Social Commerce,Credit Card,Standard,3,3,24,2,4.9,Low,1,Yes,14,No
ORD-10176,10/04/2026,39,Returning Customer,British Columbia,Footwear,73.5,0,No Promotion,Mobile App,Debit Card,Standard,4,4,2,1,4.3,High,6,No,60,Yes
ORD-10129,27/03/2026,34,New Customer,Atlantic Canada,Apparel,213.58,10,Bundle Offer,Mobile App,Credit Card,Express,2,3,1,0,2.9,High,1,No,30,No
ORD-10071,08/01/2026,34,New Customer,British Columbia,Footwear,55.56,0,No Promotion,Mobile App,Debit Card,Standard,3,3,0,0,5,Low,3,No,14,No
ORD-10334,03/03/2026,38,New Customer,Alberta,Footwear,289.37,0,No Promotion,Mobile App,Credit Card,Standard,6,1,0,0,3,Medium,7,No,14,Yes
ORD-10296,03/04/2026,40,New Customer,British Columbia,Electronics,770.16,40,Percentage Discount,Website,PayPal,Standard,3,4,2,1,3.1,Medium,6,No,14,No
ORD-10095,22/03/2026,18,Returning Customer,Ontario,Home & Kitchen,245.47,0,Free Shipping,Mobile App,Debit Card,Express,2,4,12,2,3.8,Low,4,No,14,No
ORD-10253,19/05/2026,31,Returning Customer,Quebec,Accessories,45.69,0,No Promotion,Website,PayPal,Standard,4,1,0,0,4.3,Low,7,No,30,No
ORD-10001,09/02/2026,22,New Customer,Prairies,Beauty,30.78,0,Free Shipping,Website,PayPal,Standard,7,1,2,1,3.5,Medium,10,No,45,No
ORD-10328,19/03/2026,54,Returning Customer,Ontario,Footwear,150.76,40,Percentage Discount,Website,Buy Now Pay Later,Express,3,3,20,2,3.6,Low,2,No,60,No
ORD-10199,26/02/2026,38,Discount Shopper,Prairies,Home & Kitchen,168.78,10,Free Shipping,Marketplace,Credit Card,Standard,3,5,15,3,5,Low,1,No,45,No
ORD-10283,08/05/2026,50,Returning Customer,Quebec,Apparel,142.74,5,Free Shipping,Mobile App,Buy Now Pay Later,Same-Day,1,1,2,1,3.8,Low,1,No,45,No
ORD-10144,05/01/2026,32,New Customer,Atlantic Canada,Electronics,667.95,0,Free Shipping,Mobile App,PayPal,Standard,3,1,1,1,3.8,Medium,1,No,30,No
ORD-10305,18/02/2026,37,Returning Customer,British Columbia,Apparel,207.13,15,Bundle Offer,Mobile App,Debit Card,Standard,7,3,14,0,4.3,Medium,8,No,14,No
ORD-10383,10/02/2026,45,Returning Customer,British Columbia,Apparel,109.58,0,Free Shipping,Marketplace,Debit Card,Express,3,4,1,1,4.1,Medium,3,No,60,No
ORD-10364,29/01/2026,38,New Customer,Atlantic Canada,Apparel,,30,Percentage Discount,Marketplace,PayPal,Standard,5,3,0,0,3,Medium,8,No,30,Yes
ORD-10068,10/02/2026,23,Returning Customer,Alberta,Home & Kitchen,419.45,0,No Promotion,Mobile App,Credit Card,Standard,3,1,2,1,4.2,Low,4,No,45,No
ORD-10436,12/01/2026,39,VIP Customer,Quebec,Apparel,220.23,0,Free Shipping,Website,Credit Card,Standard,3,2,30,1,3.8,Medium,9,Yes,14,No
ORD-10348,09/01/2026,36,Discount Shopper,Ontario,Accessories,82.68,40,Percentage Discount,Marketplace,Buy Now Pay Later,Standard,5,2,0,4,4.3,Medium,9,Yes,30,No
ORD-10098,12/02/2026,33,Returning Customer,British Columbia,Apparel,185.16,0,No Promotion,Mobile App,Debit Card,Standard,7,4,14,1,3.8,Low,3,No,30,Yes
ORD-10365,31/03/2026,34,Returning Customer,British Columbia,Electronics,244.06,20,Bundle Offer,Marketplace,Credit Card,Express,3,1,3,4,4.1,Low,5,No,60,Yes
ORD-10017,01/01/2026,25,Discount Shopper,Prairies,Beauty,68.1,20,Percentage Discount,Mobile App,Buy Now Pay Later,Standard,6,2,1,1,3.5,Low,8,No,60,No
ORD-10157,06/03/2026,55,Returning Customer,Alberta,Home & Kitchen,289.05,30,Percentage Discount,Website,Debit Card,Standard,6,1,4,2,3,Low,7,Yes,30,No
ORD-10073,30/05/2026,49,New Customer,Alberta,Home & Kitchen,365.85,10,Bundle Offer,Website,Credit Card,Same-Day,1,4,0,0,3.7,Low,5,No,45,No
ORD-10034,31/01/2026,42,New Customer,Alberta,Home & Kitchen,390.92,25,Percentage Discount,Mobile App,PayPal,Express,2,4,1,0,5,Low,12,Yes,14,No
ORD-10023,25/05/2026,46,Returning Customer,Ontario,Footwear,319.11,0,No Promotion,Marketplace,Debit Card,Express,1,1,12,0,4,Low,5,No,30,No
ORD-10117,15/01/2026,42,Returning Customer,Atlantic Canada,Apparel,177.95,15,Bundle Offer,Mobile App,Debit Card,Standard,5,3,3,3,4.9,Low,9,No,14,No
ORD-10386,18/02/2026,22,Returning Customer,British Columbia,Home & Kitchen,96.28,0,No Promotion,Mobile App,PayPal,Standard,4,1,15,2,4.2,Low,6,No,45,No
ORD-10338,26/02/2026,56,New Customer,Prairies,Home & Kitchen,150.13,0,No Promotion,Mobile App,Debit Card,Express,2,1,0,0,3.8,Low,1,No,45,No
ORD-10014,27/03/2026,56,Returning Customer,Ontario,Footwear,102.45,15,Percentage Discount,Website,Buy Now Pay Later,Standard,4,3,3,2,5,High,4,No,30,No
ORD-10276,09/01/2026,27,New Customer,Alberta,Accessories,83.55,0,No Promotion,Website,Credit Card,Standard,4,2,1,1,3.4,Low,5,No,45,No
ORD-10426,15/05/2026,36,Returning Customer,Prairies,Accessories,117.28,0,No Promotion,Mobile App,PayPal,Standard,3,3,6,3,3.5,Low,7,No,60,No
ORD-10185,28/03/2026,58,Returning Customer,Alberta,Electronics,523.44,40,Percentage Discount,Mobile App,Credit Card,Express,3,2,0,2,3.9,Low,4,No,14,Yes
ORD-10353,19/03/2026,39,VIP Customer,Prairies,Accessories,73.37,25,Percentage Discount,Marketplace,Buy Now Pay Later,Express,2,6,24,0,,Medium,6,Yes,60,Yes
ORD-10241,22/05/2026,34,New Customer,Alberta,Home & Kitchen,99.46,0,No Promotion,Mobile App,Debit Card,Express,2,1,1,0,5,Low,6,No,30,No
ORD-10376,18/02/2026,39,VIP Customer,Prairies,Apparel,113.97,15,Bundle Offer,Mobile App,Debit Card,Express,3,1,16,1,3.6,High,6,No,30,No
ORD-10366,22/04/2026,47,New Customer,Ontario,Footwear,385.07,10,Percentage Discount,Website,Debit Card,Standard,4,1,1,0,4.6,Low,1,No,45,No
ORD-10388,14/05/2026,45,VIP Customer,Atlantic Canada,Home & Kitchen,209.74,0,No Promotion,Website,PayPal,Express,2,4,25,0,3.8,Medium,9,No,30,No
ORD-10217,14/03/2026,30,Returning Customer,Prairies,Home & Kitchen,95.81,10,Percentage Discount,Mobile App,Credit Card,Standard,6,1,5,0,3.6,Low,8,No,14,No
ORD-10147,11/02/2026,32,Returning Customer,Atlantic Canada,Apparel,43.82,0,No Promotion,Website,Credit Card,Standard,4,3,5,1,4.2,High,8,No,30,No
ORD-10099,21/02/2026,21,Returning Customer,Quebec,Home & Kitchen,202.06,0,No Promotion,Mobile App,PayPal,Standard,6,1,8,2,4,Low,6,No,45,No
ORD-10137,21/02/2026,23,New Customer,British Columbia,Accessories,41.71,5,Free Shipping,Website,Credit Card,Express,2,3,2,0,3.1,Low,8,No,60,No
ORD-10285,20/01/2026,50,Discount Shopper,Alberta,Accessories,117.96,0,Free Shipping,Website,Debit Card,Standard,7,1,18,3,2.5,Low,1,No,30,Yes
ORD-10312,09/05/2026,36,Returning Customer,British Columbia,Apparel,152.05,10,Free Shipping,Website,PayPal,Standard,6,1,4,5,3.8,Low,9,No,30,Yes
ORD-10094,24/01/2026,36,Discount Shopper,Quebec,Footwear,119.47,0,No Promotion,Website,Debit Card,Standard,4,2,8,2,3.5,Medium,1,Yes,45,No
ORD-10417,14/05/2026,37,New Customer,Alberta,Beauty,401.84,10,Free Shipping,Mobile App,Credit Card,Standard,5,1,1,1,3.3,Low,1,No,45,Yes
ORD-10055,15/03/2026,44,Returning Customer,Prairies,Home & Kitchen,269.06,15,Bundle Offer,Mobile App,PayPal,Express,2,1,13,1,3.8,Low,5,No,14,No
ORD-10306,24/01/2026,44,Returning Customer,Ontario,Footwear,355.24,30,Percentage Discount,Website,Credit Card,Express,1,2,18,1,3.2,Medium,5,No,14,Yes
ORD-10233,17/05/2026,44,New Customer,Alberta,Apparel,178.5,30,Percentage Discount,Marketplace,Credit Card,Standard,5,1,1,0,3.6,Medium,6,Yes,60,Yes
ORD-10162,22/04/2026,33,Returning Customer,Prairies,Footwear,224.59,0,No Promotion,Marketplace,Credit Card,Standard,4,5,15,4,4.5,Low,2,No,30,No
ORD-10418,01/02/2026,57,Discount Shopper,British Columbia,Beauty,407.73,25,Percentage Discount,Website,Credit Card,Express,2,5,13,4,4.5,Low,5,No,45,No
ORD-10131,14/03/2026,48,New Customer,Ontario,Apparel,207.79,40,Percentage Discount,Mobile App,Credit Card,Express,1,1,1,0,4.7,Medium,4,Yes,30,No
ORD-10385,30/04/2026,19,Discount Shopper,British Columbia,Apparel,54.61,10,Percentage Discount,Mobile App,Buy Now Pay Later,Express,1,2,7,2,4,Low,4,Yes,60,No
ORD-10432,06/01/2026,18,Returning Customer,Alberta,Accessories,22.09,20,Bundle Offer,Marketplace,Debit Card,Standard,7,5,7,1,3.6,Low,2,Yes,30,No
ORD-10265,21/02/2026,36,Discount Shopper,,Electronics,597.51,20,Bundle Offer,Website,Buy Now Pay Later,Standard,7,2,8,1,3.8,Medium,6,No,14,Yes
ORD-10029,27/02/2026,39,VIP Customer,Alberta,Beauty,396.31,25,Percentage Discount,Website,Debit Card,Standard,4,1,32,1,4.4,Low,6,No,45,No
ORD-10300,19/04/2026,23,VIP Customer,Ontario,Footwear,371.71,30,Percentage Discount,Mobile App,Debit Card,Standard,4,6,23,1,5,Medium,5,No,14,No
ORD-10072,10/03/2026,20,Returning Customer,Prairies,Home & Kitchen,81.55,25,Percentage Discount,Website,Credit Card,Same-Day,1,2,10,1,4.9,Low,2,No,60,No
ORD-10216,08/05/2026,32,Returning Customer,Alberta,Apparel,173.78,40,Percentage Discount,Website,Debit Card,Express,3,2,0,3,4.5,Low,1,Yes,45,No
ORD-10045,12/03/2026,48,New Customer,Ontario,Apparel,146.21,0,Free Shipping,Social Commerce,PayPal,Same-Day,0,1,2,0,4.2,High,2,Yes,30,No
ORD-10394,23/03/2026,38,Discount Shopper,Alberta,Apparel,109.17,20,Bundle Offer,Website,Credit Card,Standard,3,2,4,4,2.4,Low,2,No,30,No
ORD-10041,04/04/2026,26,Returning Customer,Quebec,Beauty,381.17,10,Free Shipping,Mobile App,PayPal,Express,2,1,8,0,3.7,Low,7,Yes,45,No
ORD-10120,06/02/2026,52,Discount Shopper,Atlantic Canada,Electronics,84.91,5,Free Shipping,Social Commerce,PayPal,Express,1,1,0,0,4.6,Low,7,No,45,Yes
ORD-10237,22/04/2026,55,New Customer,Ontario,Footwear,330.45,0,Free Shipping,Mobile App,Credit Card,Same-Day,1,4,0,0,4,High,1,Yes,45,Yes
ORD-10261,12/05/2026,37,Discount Shopper,Prairies,Footwear,69.74,40,Percentage Discount,Mobile App,Credit Card,Express,3,1,4,2,4.3,Low,1,No,14,Yes
ORD-10287,18/03/2026,42,Discount Shopper,Prairies,Apparel,101.33,5,Free Shipping,Marketplace,Credit Card,Standard,4,1,8,5,3.5,Medium,6,Yes,30,Yes
ORD-10322,06/05/2026,21,New Customer,Quebec,Footwear,297.13,5,Free Shipping,Website,Debit Card,Same-Day,1,2,0,0,5,High,6,Yes,30,No
ORD-10025,04/05/2026,18,Returning Customer,British Columbia,Footwear,186.86,25,Percentage Discount,Mobile App,Credit Card,Standard,6,1,16,0,3.8,Low,1,Yes,30,No
ORD-10291,18/02/2026,44,New Customer,Alberta,Apparel,46.27,0,Free Shipping,Social Commerce,Debit Card,Standard,6,3,2,1,4.3,Low,5,Yes,45,No
ORD-10330,26/03/2026,45,VIP Customer,Quebec,Home & Kitchen,81.83,0,No Promotion,Mobile App,Credit Card,Same-Day,1,2,22,2,4.7,Medium,4,No,14,No
ORD-10332,29/04/2026,52,New Customer,Ontario,Footwear,308.41,0,Free Shipping,Marketplace,PayPal,Standard,7,4,0,0,3.7,Low,5,No,45,Yes
ORD-10221,11/03/2026,57,New Customer,British Columbia,Apparel,145.61,0,No Promotion,Mobile App,Buy Now Pay Later,Express,2,1,2,0,4.2,Medium,7,No,45,No
ORD-10320,03/04/2026,49,Returning Customer,Alberta,Accessories,59.73,0,No Promotion,Mobile App,PayPal,Standard,3,3,9,2,3.5,Low,7,No,14,No
ORD-10153,01/01/2026,54,New Customer,Ontario,Footwear,375.82,30,Percentage Discount,Mobile App,PayPal,Standard,5,1,1,0,3.8,High,2,No,60,No
ORD-10228,27/04/2026,58,Returning Customer,Atlantic Canada,Home & Kitchen,80.02,0,No Promotion,Website,Credit Card,Standard,4,6,2,0,3.7,Low,6,No,60,No
ORD-10046,12/01/2026,45,New Customer,Prairies,Footwear,334.95,0,No Promotion,Website,Buy Now Pay Later,Standard,6,2,0,1,4.2,High,3,No,60,No
ORD-10107,09/03/2026,26,New Customer,Prairies,Electronics,,30,Percentage Discount,Mobile App,PayPal,Standard,6,1,1,0,3.9,Low,1,Yes,14,Yes
ORD-10082,27/05/2026,44,VIP Customer,Prairies,Footwear,52.87,0,No Promotion,Mobile App,Buy Now Pay Later,Express,2,3,25,1,3.5,Low,7,No,45,No
ORD-10381,09/04/2026,47,New Customer,Alberta,Footwear,310.14,0,Free Shipping,Website,PayPal,Standard,6,1,0,0,4.6,Medium,3,Yes,60,No
ORD-10244,25/03/2026,19,Returning Customer,Alberta,Apparel,43.72,10,Percentage Discount,Website,Credit Card,Express,1,5,0,2,5,High,2,No,30,No
ORD-10236,19/05/2026,33,Returning Customer,British Columbia,Beauty,171.89,5,Free Shipping,Marketplace,PayPal,Standard,3,6,7,3,4.4,Low,4,No,60,Yes
ORD-10393,15/05/2026,39,Discount Shopper,Alberta,Home & Kitchen,103.8,0,Free Shipping,Marketplace,Buy Now Pay Later,Standard,3,4,16,1,4.6,Low,6,No,30,No
ORD-10035,31/05/2026,58,New Customer,Alberta,Beauty,,0,Free Shipping,Social Commerce,PayPal,Standard,6,2,2,0,4.7,Medium,3,No,45,No
ORD-10085,15/03/2026,44,New Customer,Atlantic Canada,Home & Kitchen,342.38,40,Percentage Discount,Website,Debit Card,Standard,5,1,0,0,3.8,Medium,4,Yes,14,No
ORD-10298,08/02/2026,51,Returning Customer,Alberta,Footwear,292.24,10,Percentage Discount,Marketplace,Buy Now Pay Later,Standard,5,2,5,1,3,Medium,5,No,45,Yes
ORD-10207,05/02/2026,39,Discount Shopper,Alberta,Apparel,80.28,0,Free Shipping,Mobile App,Buy Now Pay Later,Express,3,2,6,2,4.2,Medium,3,No,30,Yes
ORD-10407,19/03/2026,24,Returning Customer,Ontario,Home & Kitchen,362.15,0,No Promotion,Mobile App,PayPal,Standard,7,6,12,0,3.9,Low,5,Yes,14,No
ORD-10234,25/04/2026,40,Discount Shopper,British Columbia,Beauty,252.84,20,Bundle Offer,Mobile App,Credit Card,Same-Day,1,3,3,2,2.9,Low,5,No,14,Yes
ORD-10295,17/01/2026,22,New Customer,Quebec,Beauty,215.86,0,No Promotion,Marketplace,Credit Card,Express,1,3,0,0,3.8,Medium,6,Yes,45,Yes
ORD-10133,02/05/2026,32,Returning Customer,Quebec,Footwear,244.83,15,Percentage Discount,Mobile App,PayPal,Standard,7,3,6,0,2.8,High,3,No,30,Yes
ORD-10165,21/05/2026,18,New Customer,Atlantic Canada,Accessories,122.24,0,No Promotion,Marketplace,Debit Card,Standard,4,4,1,0,5,Low,7,Yes,45,No
ORD-10299,30/03/2026,25,New Customer,Atlantic Canada,Accessories,142.87,,Free Shipping,Mobile App,Buy Now Pay Later,Express,2,2,1,0,3.2,Low,1,No,60,No
