Lead_ID,Lead_Date,Lead_Source,Industry,Region,Company_Size,Employee_Count,Annual_Revenue_Estimate,Use_Case,Website_Visits_30D,Email_Open_Rate,Sales_Calls_Count,Demo_Requested,Proposal_Sent,Budget_Confirmed,Decision_Maker_Involved,Competitor_Considered,Discount_Offered_Percent,Days_In_Pipeline,Estimated_Deal_Value,Lead_Score,Sales_Rep,Deal_Won
L0029,2026-04-15,Google Search,Retail,Prairies,Large,1178,"$14,915,626",Workflow Automation,23,48%,2,Yes,Yes,Yes,No,No,3.6,30,"$74,188",88,Rep C,No
L0030,2026-02-09,Email Campaign,Retail,Ontario,Small,11,"$2,436,531",Marketing Automation,2,20%,1,No,Yes,Yes,No,No,8.6,39,"$1,500",51,Rep A,No
L0031,2026-04-30,Webinar,Manufacturing,Ontario,Enterprise,6778,"$108,929,133",Sales Forecasting,24,65%,5,Yes,Yes,No,No,No,12.5,45,"$624,173",68,Rep E,Yes
L0032,2026-04-12,Email Campaign,Healthcare,Ontario,Large,1021,"$42,786,467",Sales Forecasting,10,54%,7,Yes,Yes,No,Yes,Yes,5.7,22,"$71,140",74,Rep E,No
L0033,2026-04-24,Trade Show,Professional Services,Quebec,Small,8,"$784,119",Sales Forecasting,18,4%,4,Yes,Yes,Yes,Yes,No,12.0,16,"$1,500",88,Rep C,Yes
L0034,2026-03-21,Email Campaign,Hospitality,Ontario,Small,53,"$1,343,982",Workflow Automation,3,3%,4,No,Yes,Yes,No,No,10.5,24,"$2,392",52,Rep D,No
L0035,2026-01-03,Email Campaign,Manufacturing,British Columbia,Small,18,"$314,641",Sales Forecasting,13,30%,4,No,Yes,No,No,Yes,14.2,24,"$1,500",45,Rep D,No
L0036,2026-03-16,Organic Website,Technology,Ontario,Medium,133,"$14,467,075",Marketing Automation,9,23%,0,No,No,No,No,No,2.7,37,"$7,990",22,Rep D,No
L0037,2026-01-12,Referral,Retail,Atlantic Canada,Small,61,"$2,938,852",CRM Automation,12,37%,4,Yes,Yes,No,Yes,No,1.4,17,"$5,793",80,Rep C,Yes
L0038,2026-03-05,Trade Show,Retail,British Columbia,Medium,232,"$10,485,221",Marketing Automation,26,36%,0,Yes,Yes,No,No,No,3.8,17,"$23,549",66,Rep D,Yes
L0039,2026-02-05,LinkedIn Ads,Healthcare,British Columbia,Small,49,"$2,917,983",Workflow Automation,0,9%,1,Yes,Yes,Yes,No,No,15.5,5,"$4,013",72,Rep B,Yes
L0040,2026-01-15,Google Search,Retail,Atlantic Canada,Medium,204,"$2,673,239",Marketing Automation,17,15%,0,Yes,No,No,No,Yes,11.3,68,"$15,323",34,Rep D,No
L0041,2026-03-03,Email Campaign,Retail,Ontario,Large,1003,"$17,217,060",Customer Analytics,9,35%,3,No,No,Yes,No,No,7.8,25,"$107,969",43,Rep B,Yes
L0042,2026-04-24,Trade Show,Education,Ontario,Large,839,"$19,631,003",Workflow Automation,18,18%,3,Yes,Yes,No,Yes,No,5.6,49,"$85,759",73,Rep C,Yes
L0043,2026-04-03,Google Search,Finance,Quebec,Medium,83,"$10,299,015",Customer Analytics,16,34%,1,No,No,No,Yes,Yes,6.9,22,"$7,367",44,Rep A,No
L0044,2026-02-09,LinkedIn Ads,Healthcare,Ontario,Small,43,"$2,210,046",CRM Automation,0,20%,4,No,Yes,No,Yes,No,0.0,27,"$2,224",49,Rep C,No
L0045,2026-02-04,Organic Website,Finance,Ontario,Small,34,"$2,688,647",CRM Automation,1,47%,2,Yes,Yes,Yes,No,No,1.6,20,"$2,433",74,Rep D,Yes
L0046,2026-01-10,Google Search,Manufacturing,Quebec,Small,46,"$2,280,978",Sales Forecasting,6,40%,2,No,Yes,No,Yes,No,10.9,18,"$4,331",48,Rep D,No
L0047,2026-01-29,,Technology,Quebec,Medium,89,"$13,017,534",Customer Analytics,17,37%,3,No,Yes,Yes,Yes,No,6.2,19,"$8,595",85,Rep A,Yes
L0048,2026-03-21,Google Search,Retail,Quebec,Small,23,"$1,947,414",Workflow Automation,,49%,2,Yes,Yes,Yes,No,No,0.7,1,"$1,763",77,Rep C,Yes
L0049,2026-03-25,Google Search,Professional Services,Ontario,Medium,178,"$12,764,835",Marketing Automation,24,40%,5,No,Yes,Yes,No,No,12.6,29,"$12,323",59,Rep C,No
L0050,2026-02-19,Google Search,Manufacturing,Quebec,Enterprise,4586,"$215,701,152",Workflow Automation,33,,3,No,Yes,No,No,Yes,18.0,41,"$286,717",42,Rep C,No
L0051,2026-03-07,Google Search,Technology,British Columbia,Large,918,"$20,600,959",Customer Analytics,26,47%,5,Yes,Yes,Yes,No,No,11.2,65,"$47,296",81,Rep E,Yes
L0052,2026-02-22,Referral,Finance,Ontario,Small,58,"$1,144,413",Sales Forecasting,14,14%,3,No,Yes,Yes,Yes,No,9.1,25,"$2,944",72,Rep E,Yes
L0053,2026-04-22,Referral,Technology,Prairies,Medium,180,"$13,613,081",Marketing Automation,4,64%,3,Yes,Yes,Yes,No,No,7.5,25,"$10,125",76,Rep D,Yes
L0054,2026-01-19,Referral,Professional Services,Alberta,Medium,83,"$6,380,134",CRM Automation,19,12%,3,Yes,Yes,Yes,Yes,Yes,13.8,30,"$7,175",96,Rep A,Yes
L0055,2026-03-15,LinkedIn Ads,Healthcare,Alberta,Medium,98,"$10,985,551",Marketing Automation,9,22%,2,Yes,Yes,No,No,Yes,12.4,40,"$7,334",47,Rep A,No
L0056,2026-02-12,Google Search,Retail,Quebec,Medium,189,"$13,355,130",Customer Analytics,8,26%,0,No,No,Yes,No,No,9.3,21,"$17,037",32,Rep B,No
L0057,2026-03-25,LinkedIn Ads,Finance,Ontario,Medium,177,"$11,423,241",Marketing Automation,17,55%,3,Yes,Yes,No,No,Yes,13.1,27,"$16,998",56,Rep E,Yes
L0058,2026-01-06,Google Search,Retail,Quebec,Large,513,"$26,799,998",Workflow Automation,19,25%,1,Yes,Yes,Yes,No,Yes,10.4,38,"$48,520",67,Rep D,Yes
L0059,2026-04-08,Email Campaign,Professional Services,British Columbia,Medium,233,"$3,729,561",Marketing Automation,19,46%,2,Yes,Yes,Yes,No,No,6.7,8,"$23,689",75,Rep D,Yes
L0060,2026-02-10,LinkedIn Ads,Retail,Quebec,Small,43,"$369,882",Workflow Automation,6,22%,0,No,No,Yes,Yes,Yes,11.0,23,"$3,985",25,Rep B,No
L0061,2026-02-22,Email Campaign,Technology,British Columbia,Small,15,"$3,006,787",CRM Automation,8,47%,0,No,No,Yes,No,Yes,21.0,17,"$1,500",36,Rep B,No
L0062,2026-03-12,Trade Show,Retail,Prairies,Medium,93,,Marketing Automation,15,28%,2,Yes,Yes,No,Yes,No,10.0,41,"$5,234",69,Rep C,Yes
L0063,2026-02-08,Google Search,Manufacturing,British Columbia,Small,65,"$2,869,539",Sales Forecasting,19,38%,5,No,Yes,Yes,No,No,13.9,47,"$4,905",68,Rep D,No
L0064,2026-04-21,Referral,Technology,British Columbia,Small,46,"$1,929,280",CRM Automation,0,77%,1,No,No,Yes,Yes,Yes,20.2,26,"$1,991",48,Rep A,No
L0065,2026-01-14,Webinar,Healthcare,Atlantic Canada,Small,40,"$1,599,713",Sales Forecasting,5,39%,0,Yes,No,Yes,Yes,No,11.4,32,"$2,342",58,Rep B,Yes
L0066,2026-03-06,Referral,Hospitality,Alberta,Large,756,"$26,156,549",Customer Analytics,20,28%,6,Yes,Yes,Yes,No,Yes,15.5,67,"$45,021",79,Rep B,Yes
L0067,2026-03-22,LinkedIn Ads,Retail,Alberta,Large,997,"$32,699,559",CRM Automation,14,22%,2,No,Yes,Yes,Yes,Yes,15.6,40,"$103,124",66,Rep C,No
L0068,2026-04-05,LinkedIn Ads,Education,Prairies,Large,1033,"$45,723,664",Sales Forecasting,25,,8,Yes,Yes,Yes,Yes,No,10.4,21,"$108,128",98,Rep D,Yes
L0069,2026-04-01,Email Campaign,Technology,Quebec,Medium,199,"$9,077,883",Sales Forecasting,15,9%,0,No,Yes,Yes,No,Yes,10.0,42,"$11,698",49,Rep E,Yes
L0070,2026-03-17,Referral,Education,British Columbia,Enterprise,2199,"$194,218,050",Customer Analytics,24,50%,3,Yes,Yes,Yes,Yes,No,8.5,55,"$112,581",96,Rep D,Yes
L0071,2026-04-30,Google Search,Retail,Atlantic Canada,Small,16,"$1,779,944",CRM Automation,0,49%,3,Yes,No,No,No,No,4.1,36,"$1,500",44,Rep B,No
L0072,2026-02-02,LinkedIn Ads,Professional Services,Quebec,Large,821,"$28,346,729",CRM Automation,33,56%,3,Yes,Yes,No,No,Yes,30.7,51,"$46,511",62,Rep E,No
L0073,2026-03-30,Email Campaign,Retail,Ontario,Small,40,"$3,204,725",CRM Automation,6,23%,3,Yes,Yes,Yes,No,No,11.4,16,"$1,629",79,Rep D,Yes
L0074,2026-04-22,Google Search,Technology,Quebec,Small,26,"$1,819,576",Workflow Automation,8,38%,3,No,Yes,No,No,No,14.8,18,"$1,500",41,Rep D,No
L0075,2026-01-03,Email Campaign,Manufacturing,British Columbia,Small,18,"$2,643,362",CRM Automation,0,39%,1,No,No,Yes,Yes,No,2.3,8,"$1,507",44,Rep E,Yes
L0076,2026-01-18,Referral,Technology,Alberta,Medium,68,"$13,838,877",Customer Analytics,15,46%,0,No,No,No,Yes,No,1.7,19,"$6,981",52,Rep A,No
L0077,2026-01-31,Email Campaign,Finance,Ontario,Medium,232,"$3,050,667",Marketing Automation,8,37%,2,Yes,Yes,No,No,Yes,21.5,24,"$23,398",46,Rep C,No
L0078,2026-03-13,Google Search,Retail,Ontario,Medium,74,"$9,608,821",CRM Automation,18,31%,4,No,Yes,No,Yes,No,4.7,37,"$4,949",64,Rep D,Yes
L0079,2026-02-01,Organic Website,Hospitality,Prairies,Medium,238,,Sales Forecasting,17,42%,2,No,Yes,No,No,No,2.3,1,"$18,141",44,Rep C,Yes
L0080,2026-03-03,Google Search,Finance,Ontario,Medium,70,"$3,653,277",Sales Forecasting,17,53%,1,Yes,No,No,No,Yes,9.7,61,"$3,333",34,Rep B,No
L0081,2026-03-16,Organic Website,Technology,Alberta,Medium,126,"$9,571,166",Customer Analytics,18,20%,3,No,Yes,Yes,Yes,Yes,8.4,45,"$5,172",61,Rep B,Yes
L0082,2026-04-15,Webinar,Education,Ontario,Small,56,"$2,269,552",Workflow Automation,7,23%,2,Yes,Yes,Yes,No,No,3.4,37,"$5,294",69,Rep B,Yes
L0083,2026-01-23,Email Campaign,Technology,Quebec,Large,922,"$45,048,871",Marketing Automation,27,20%,6,Yes,Yes,No,No,Yes,16.6,30,"$67,684",67,Rep B,No
L0084,2026-02-25,LinkedIn Ads,Retail,Ontario,Small,37,"$1,625,954",Workflow Automation,9,52%,3,No,No,Yes,No,No,2.1,24,"$1,892",44,Rep C,No
L0085,2026-03-14,Email Campaign,Finance,Prairies,Enterprise,1609,"$291,129,637",Workflow Automation,24,21%,1,Yes,No,Yes,Yes,Yes,19.0,58,"$166,506",59,Rep E,Yes
L0086,2026-01-24,Google Search,Hospitality,Quebec,Large,340,"$62,129,554",Marketing Automation,20,37%,2,No,No,Yes,No,No,3.8,30,"$30,822",51,Rep B,No
L0087,2026-01-12,Email Campaign,Technology,Ontario,Medium,99,"$7,689,019",Marketing Automation,12,37%,3,Yes,Yes,Yes,Yes,No,8.1,11,"$4,128",86,Rep D,Yes
L0088,2026-02-08,Webinar,Technology,Atlantic Canada,Small,32,"$2,361,470",Marketing Automation,5,54%,3,Yes,Yes,Yes,Yes,Yes,18.1,21,"$1,686",71,Rep C,Yes
L0089,2026-03-17,LinkedIn Ads,Education,Atlantic Canada,Small,46,"$1,963,922",Sales Forecasting,1,64%,3,No,Yes,No,Yes,No,7.2,27,"$2,180",47,Rep E,No
L0090,2026-01-05,Organic Website,Healthcare,Alberta,Small,12,"$1,288,506",Workflow Automation,11,40%,2,No,Yes,Yes,No,No,10.9,1,"$1,500",55,Rep D,Yes
L0091,2026-04-09,Trade Show,Finance,Atlantic Canada,Medium,71,"$12,290,669",CRM Automation,11,18%,2,No,Yes,Yes,No,No,0.0,9,"$4,897",55,Rep D,Yes
L0092,2026-04-05,Email Campaign,Technology,Ontario,Enterprise,2694,"$100,137,027",Customer Analytics,20,29%,6,Yes,Yes,Yes,No,Yes,25.6,45,"$252,856",80,Rep C,No
L0093,2026-01-15,Google Search,Healthcare,Ontario,Medium,161,"$14,034,670",Customer Analytics,18,21%,2,Yes,Yes,No,No,No,8.2,27,"$10,268",60,Rep E,Yes
L0094,2026-01-24,Google Search,Hospitality,British Columbia,Medium,104,"$5,061,000",Marketing Automation,12,20%,1,Yes,Yes,Yes,Yes,No,6.6,10,"$5,091",85,Rep C,Yes
L0095,2026-01-29,Referral,Manufacturing,Prairies,Enterprise,3941,"$171,068,264",CRM Automation,32,34%,4,Yes,Yes,Yes,Yes,No,17.6,32,"$307,475",98,Rep A,Yes
L0096,2026-01-12,Google Search,Healthcare,British Columbia,Small,25,"$2,444,915",Marketing Automation,,25%,2,Yes,Yes,No,No,Yes,10.6,35,"$1,500",45,Rep C,No
L0097,2026-01-18,Referral,Professional Services,Alberta,Small,47,"$1,720,408",Sales Forecasting,12,16%,0,No,Yes,No,Yes,No,5.4,36,"$4,629",60,Rep E,No
L0098,2026-03-16,Organic Website,Technology,Prairies,Enterprise,5009,"$246,424,821",CRM Automation,31,46%,3,Yes,Yes,No,No,No,9.5,30,"$353,402",60,Rep E,No
L0099,2026-01-21,LinkedIn Ads,Technology,Alberta,Large,746,"$64,690,789",Marketing Automation,17,41%,3,No,No,No,No,Yes,15.2,32,"$35,629",23,Rep C,No
L0100,2026-02-26,Referral,Retail,Prairies,Small,31,"$2,627,074",CRM Automation,3,22%,4,No,Yes,Yes,Yes,Yes,18.2,34,"$2,436",70,Rep D,Yes
L0101,2026-01-20,LinkedIn Ads,Technology,Alberta,Enterprise,4011,"$98,390,752",CRM Automation,28,26%,4,Yes,Yes,Yes,No,Yes,12.7,41,"$353,788",72,Rep C,Yes
L0102,2026-02-20,Organic Website,Manufacturing,Quebec,Small,35,"$745,889",CRM Automation,8,51%,2,No,Yes,No,Yes,No,14.8,28,"$2,780",52,Rep E,Yes
L0103,2026-04-12,Google Search,Retail,Atlantic Canada,Enterprise,3592,"$86,995,930",CRM Automation,34,,2,Yes,Yes,No,No,Yes,19.0,57,"$157,978",59,Rep C,Yes
L0104,2026-04-29,Referral,Healthcare,Alberta,Large,320,"$43,438,607",Customer Analytics,34,21%,4,Yes,Yes,No,No,Yes,19.7,21,"$22,763",77,Rep C,Yes
L0105,2026-03-15,Referral,Education,British Columbia,Small,18,"$822,717",Marketing Automation,0,36%,2,No,No,No,Yes,No,12.8,16,"$1,500",48,Rep D,Yes
L0106,2026-01-29,Webinar,Manufacturing,Quebec,Small,51,"$1,058,097",CRM Automation,7,38%,2,Yes,Yes,No,Yes,No,7.4,44,"$4,406",71,Rep E,Yes
L0107,2026-03-05,Google Search,Education,Alberta,Small,59,"$2,150,224",Customer Analytics,14,38%,1,Yes,Yes,Yes,Yes,No,17.5,17,"$4,139",93,Rep A,Yes
L0108,2026-04-28,Organic Website,Technology,Alberta,Medium,237,"$2,817,734",CRM Automation,14,31%,0,No,Yes,Yes,Yes,No,0.0,60,"$20,443",71,Rep D,Yes
L0109,2026-04-09,Google Search,Hospitality,Quebec,Large,846,"$49,271,917",Marketing Automation,28,39%,5,No,Yes,Yes,No,Yes,19.0,40,"$90,726",63,Rep C,Yes
L0110,2026-02-21,Webinar,Retail,Ontario,Medium,83,"$9,504,748",Sales Forecasting,10,60%,1,No,Yes,No,No,No,5.9,32,"$7,744",44,Rep C,Yes
L0111,2026-01-06,Trade Show,Manufacturing,British Columbia,Small,60,"$680,242",Marketing Automation,2,16%,1,No,Yes,Yes,No,No,6.1,40,"$5,634",57,Rep A,Yes
L0112,2026-03-22,Organic Website,Retail,Prairies,Medium,130,"$13,597,713",Sales Forecasting,15,29%,1,Yes,Yes,No,Yes,Yes,13.4,38,"$12,675",69,Rep D,Yes
L0113,2026-04-15,Organic Website,Manufacturing,Ontario,Small,32,"$2,341,877",Sales Forecasting,6,40%,4,Yes,Yes,Yes,No,No,2.7,28,"$2,646",73,Rep D,Yes
L0114,2026-01-08,Trade Show,Technology,Alberta,Enterprise,6714,"$101,766,256",Workflow Automation,20,46%,3,Yes,Yes,No,No,No,8.5,53,"$350,174",65,Rep C,Yes
L0115,2026-04-04,Google Search,Healthcare,British Columbia,Small,62,"$934,109",CRM Automation,13,49%,2,No,Yes,Yes,No,No,9.9,13,"$3,780",57,Rep E,No
L0116,2026-01-14,Organic Website,Technology,Prairies,Medium,156,"$8,962,910",Workflow Automation,12,39%,4,No,No,No,No,Yes,16.1,23,"$12,439",36,Rep A,No
L0117,2026-04-17,Organic Website,Retail,Alberta,Small,29,"$687,623",CRM Automation,10,52%,0,No,Yes,Yes,No,Yes,23.1,11,"$1,822",52,Rep E,No
L0118,2026-01-07,Referral,Hospitality,British Columbia,Medium,78,"$7,011,267",CRM Automation,16,34%,5,No,Yes,No,No,No,13.4,7,"$6,199",64,Rep A,No
L0119,2026-02-09,LinkedIn Ads,Healthcare,Ontario,Medium,160,"$12,674,859",Marketing Automation,15,24%,1,Yes,No,No,Yes,Yes,20.1,37,"$7,252",56,Rep D,No
L0120,2026-02-23,Email Campaign,Education,Atlantic Canada,Small,24,"$1,817,047",Customer Analytics,8,42%,4,No,Yes,Yes,No,No,11.2,10,"$2,271",55,Rep D,No
L0121,2026-03-18,Organic Website,Technology,Prairies,Medium,206,"$15,207,206",Customer Analytics,22,58%,0,Yes,Yes,Yes,Yes,Yes,19.8,29,"$19,254",80,Rep B,Yes
L0122,2026-02-22,Google Search,Professional Services,Prairies,Small,8,"$1,894,541",Customer Analytics,1,29%,1,No,No,No,No,No,9.5,30,"$1,500",25,Rep B,No
L0123,2026-04-06,Google Search,Technology,British Columbia,Medium,144,"$12,592,076",Customer Analytics,20,36%,2,Yes,No,No,No,No,12.8,10,"$7,893",41,Rep A,No
L0124,2026-04-28,Referral,Technology,Ontario,Medium,155,"$10,411,947",CRM Automation,10,38%,1,Yes,No,No,Yes,Yes,21.5,44,"$8,713",48,Rep D,No
L0125,2026-02-04,Referral,Healthcare,Quebec,Medium,181,"$6,938,915",Workflow Automation,11,46%,4,No,Yes,Yes,Yes,No,2.9,46,"$14,856",77,Rep B,Yes
L0126,2026-04-18,Email Campaign,Manufacturing,Atlantic Canada,Enterprise,3502,"$255,864,145",Sales Forecasting,23,10%,3,No,Yes,Yes,Yes,No,23.5,27,"$146,752",74,Rep D,No
L0127,2026-02-23,Trade Show,Manufacturing,British Columbia,Small,24,"$1,912,073",Sales Forecasting,6,39%,2,No,No,No,No,No,0.0,19,"$2,516",20,Rep D,No
L0128,2026-02-15,Referral,Technology,British Columbia,Enterprise,3459,"$265,821,646",Customer Analytics,32,17%,4,Yes,Yes,Yes,No,No,10.8,46,"$218,821",97,Rep E,Yes
L0129,2026-01-19,Google Search,Hospitality,Quebec,Large,875,"$50,254,839",Sales Forecasting,16,33%,5,No,Yes,No,Yes,No,13.2,19,"$90,780",77,Rep B,No
L0130,2026-04-17,Google Search,Technology,Alberta,Medium,103,"$3,284,826",CRM Automation,3,33%,4,No,Yes,No,Yes,Yes,19.6,36,"$4,214",52,Rep D,No
L0131,2026-02-21,Webinar,Retail,Ontario,Large,306,"$19,387,010",Workflow Automation,18,50%,3,Yes,Yes,No,Yes,No,1.3,34,"$36,097",82,Rep B,No
L0132,2026-01-02,LinkedIn Ads,Healthcare,Prairies,Small,32,"$864,120",Sales Forecasting,2,18%,2,No,Yes,Yes,No,Yes,16.7,32,"$1,707",52,Rep A,No
L0133,2026-01-12,Google Search,Technology,British Columbia,Small,15,"$614,970",CRM Automation,0,16%,4,No,Yes,Yes,No,No,0.0,17,"$1,500",48,Rep C,Yes
L0134,2026-02-15,Organic Website,Hospitality,British Columbia,Small,26,"$681,498",Sales Forecasting,11,36%,3,No,Yes,No,Yes,No,9.0,45,"$2,161",59,Rep A,Yes
L0135,2026-02-18,Organic Website,Professional Services,Ontario,Large,1111,"$36,728,520",Customer Analytics,22,12%,4,No,Yes,No,Yes,Yes,13.7,30,"$98,430",55,Rep B,Yes
L0136,2026-03-03,Email Campaign,Manufacturing,Atlantic Canada,Large,910,"$19,662,135",Workflow Automation,32,33%,1,Yes,Yes,No,No,No,6.7,32,"$67,002",60,Rep D,No
L0137,2026-02-27,Google Search,Technology,Quebec,Large,1130,"$56,664,722",Workflow Automation,26,38%,4,Yes,Yes,No,Yes,Yes,29.2,28,"$83,112",78,Rep C,No
L0138,2026-01-13,Google Search,,Alberta,Small,47,"$2,877,646",CRM Automation,0,23%,0,No,No,No,Yes,No,9.2,7,"$2,989",27,Rep C,No
L0139,2026-03-28,Email Campaign,Healthcare,Quebec,Large,383,"$51,196,528",Customer Analytics,19,17%,4,Yes,Yes,Yes,No,Yes,19.3,38,"$21,477",82,Rep E,Yes
L0140,2026-02-01,Webinar,Technology,Quebec,Medium,209,"$2,685,021",CRM Automation,16,9%,1,No,Yes,No,No,No,5.1,32,"$16,633",43,Rep E,No
L0141,2026-02-15,Google Search,Professional Services,Prairies,Medium,242,"$7,828,543",Customer Analytics,11,24%,1,Yes,No,No,No,No,5.1,4,"$14,751",45,Rep A,Yes
L0142,2026-01-14,Webinar,Manufacturing,Prairies,Large,265,"$80,307,788",Workflow Automation,25,56%,5,Yes,Yes,Yes,No,No,15.9,33,"$16,156",94,Rep D,Yes
L0143,2026-03-19,Webinar,Technology,British Columbia,Small,32,"$2,590,556",Customer Analytics,5,55%,3,No,No,No,No,No,8.3,18,"$2,850",21,Rep D,No
L0144,2026-03-15,Google Search,Technology,Ontario,Medium,131,"$14,565,887",CRM Automation,19,45%,2,No,Yes,Yes,Yes,Yes,20.5,48,"$10,875",64,Rep E,Yes
L0145,2026-04-28,Webinar,Retail,Alberta,Medium,149,"$5,370,203",Sales Forecasting,11,28%,1,No,No,No,No,No,19.8,31,"$8,287",32,Rep E,No
L0146,2026-04-21,Webinar,Professional Services,British Columbia,Small,41,,Workflow Automation,6,40%,3,No,No,Yes,No,No,6.0,27,"$3,426",42,Rep E,No
