claim_id,age,age_group,gender,region,policy_type,customer_segment,vehicle_age_years,driving_experience_years,annual_premium,coverage_amount,previous_claims,claim_amount,accident_severity,police_report_filed,customer_tenure_years,payment_history_score,claim_processing_days,claim_approved
C0033,28,26-35,Female,North,Basic,Regular,14,5,2029.38,18142,0,1507.9,Low,Yes,3,57,19,0
C0034,50,36-50,Male,West,Basic,Regular,14,27,3541.62,14789,2,1188.84,Low,Yes,2,95,23,0
C0035,71,51+,Male,South,Premium,Regular,2,47,3079.57,61292,1,16054.5,High,Yes,3,55,29,1
C0036,71,51+,Male,East,Basic,Regular,11,44,2443.76,16772,0,1207.7,Low,No,5,89,42,0
C0037,22,18-25,Male,North,Standard,Regular,7,4,1912.71,40095,2,6568.6,Low,No,4,60,24,0
C0038,45,36-50,Male,South,Premium,Regular,15,18,2494.58,97785,2,38325.83,Medium,Yes,3,68,21,0
C0039,43,36-50,Female,North,Standard,New,13,25,3159.55,51608,0,19022.51,Medium,Yes,1,55,38,1
C0040,24,18-25,Female,South,Premium,Loyal,6,6,2309.19,71020,0,11494.35,Low,Yes,8,47,23,1
C0041,31,26-35,Female,North,Standard,New,7,3,2356.07,43672,0,6125.07,Low,No,1,92,37,1
C0042,32,26-35,Female,West,Standard,Regular,18,5,1433.03,26754,0,5815.8,Medium,Yes,6,93,40,1
C0043,29,26-35,Female,North,Standard,New,9,4,1855.24,48825,4,3075.99,Medium,No,0,71,38,0
C0044,29,26-35,Female,East,Standard,New,4,9,2592.37,51339,1,8555.76,Low,No,2,97,33,1
C0045,23,18-25,Female,East,Basic,Regular,3,0,1910.66,21018,0,10104.73,High,Yes,2,67,28,0
C0046,37,36-50,Male,North,Standard,New,17,16,3251.63,52100,0,12340.62,High,No,2,78,25,1
C0047,37,36-50,Male,West,Basic,Loyal,17,19,963.51,23270,0,10152.88,Medium,Yes,13,84,38,1
C0048,69,51+,Male,West,Standard,Loyal,17,51,1412.38,50323,1,8499.81,Low,No,13,52,18,0
C0049,56,51+,Male,West,Standard,Loyal,11,28,1806.14,40114,4,15153.24,Medium,Yes,13,95,13,0
C0050,56,51+,Female,East,Premium,Loyal,18,35,1113.34,55087,0,8914.57,Low,No,9,65,7,0
C0051,40,36-50,Male,West,Basic,Regular,16,13,1964.93,26278,1,6409.58,Medium,Yes,5,54,36,0
C0052,31,26-35,Male,East,Standard,Loyal,7,4,1539.82,42614,0,2657.05,Low,No,12,46,3,0
C0053,44,36-50,Female,North,Basic,Loyal,5,22,872.11,26509,2,2761.24,Low,No,14,46,35,0
C0054,59,51+,Female,North,Basic,New,18,31,1597.69,10708,0,2766.23,Medium,Yes,0,64,42,0
C0055,47,36-50,Male,West,Standard,Regular,4,27,3307.66,53671,2,9465.17,Low,No,4,52,14,0
C0056,23,18-25,Male,South,Standard,Loyal,12,0,1168.04,48243,0,19190.2,Medium,Yes,11,75,25,1
C0057,33,26-35,Male,West,Premium,Regular,0,6,2045.61,56709,1,41365.12,High,Yes,2,59,28,0
C0058,64,51+,Male,West,Basic,New,7,39,3522.13,16918,1,2911.71,Low,Yes,0,92,18,1
C0059,26,26-35,Female,North,Standard,Regular,14,6,1938.05,34486,0,3442.41,Low,No,5,72,10,0
C0060,25,18-25,Male,South,Basic,Regular,10,2,,14874,0,3645.46,Medium,No,5,71,3,0
C0061,32,26-35,Female,West,Basic,New,18,10,3411.96,10539,3,4653.96,Medium,Yes,0,62,23,0
C0062,36,36-50,Female,West,Standard,New,1,8,1633.0,41557,0,12648.59,Medium,No,0,74,30,0
C0063,32,26-35,Male,West,Basic,Regular,9,12,2771.11,16222,0,2282.08,Medium,No,4,78,34,1
C0064,61,51+,Male,South,Premium,Loyal,2,41,970.56,72545,0,7057.51,Low,Yes,14,86,21,1
C0065,53,51+,Male,South,Basic,Regular,16,25,1690.32,13799,0,1002.78,Low,No,6,85,13,1
C0066,71,51+,Female,West,Premium,New,8,45,876.66,60746,2,18031.69,Medium,,2,80,25,1
C0067,41,36-50,Male,West,Standard,Loyal,11,20,2969.23,50860,1,9864.98,Medium,Yes,11,53,10,1
C0068,62,51+,Female,East,Premium,Regular,4,44,3251.34,81438,0,13171.64,Medium,No,4,62,27,0
C0069,48,36-50,Male,North,Standard,Regular,1,30,2251.25,44643,1,7328.54,Medium,Yes,3,51,37,0
C0070,43,36-50,Male,East,Standard,Loyal,13,15,2307.3,49805,1,2550.38,Low,No,8,53,45,1
C0071,48,36-50,Male,North,Standard,Regular,10,23,,53008,0,7439.33,Low,No,3,88,21,1
C0072,43,36-50,Female,South,Standard,Regular,3,18,2324.7,50515,1,6232.7,Low,No,2,55,25,0
C0073,21,18-25,Female,North,Standard,New,4,0,1274.42,26949,4,2882.01,Low,Yes,0,49,30,0
C0074,43,36-50,Female,East,Premium,Loyal,8,15,1505.47,82634,0,5394.01,Low,No,13,69,11,1
C0075,43,36-50,Male,West,Basic,Regular,10,19,3394.47,17416,0,3050.95,Low,No,3,60,28,0
C0076,37,36-50,Male,East,Basic,Loyal,0,12,963.83,13086,2,9531.08,High,Yes,12,64,14,0
C0077,33,26-35,Female,South,Standard,New,5,8,2877.42,40393,1,2315.35,Medium,No,1,63,12,0
C0078,28,26-35,Female,West,Standard,Regular,18,1,1560.8,58393,1,9752.6,Medium,Yes,5,74,42,0
C0079,23,18-25,Female,East,Basic,New,4,0,3366.97,10601,0,995.99,Low,No,0,50,45,0
C0080,57,51+,Female,North,Standard,Regular,16,34,2495.63,40514,2,9583.48,Medium,No,3,71,7,0
C0081,41,36-50,Female,East,Premium,Regular,12,21,2963.43,57765,0,15630.36,High,Yes,3,71,26,1
C0082,43,36-50,Female,West,Basic,Regular,9,15,2325.26,11014,0,1933.39,Low,No,5,75,28,0
C0083,21,18-25,Female,South,Premium,Loyal,13,0,3514.66,95853,1,21871.55,High,Yes,9,49,3,1
C0084,53,51+,Female,South,Basic,New,10,30,3359.53,20259,2,3196.68,Low,Yes,0,68,39,1
C0085,32,26-35,Male,South,Standard,Regular,17,8,2464.26,32417,2,2723.29,Low,No,3,87,15,0
C0086,64,51+,Female,West,Standard,Loyal,1,41,2858.8,57006,0,9413.83,Low,No,13,56,22,1
C0087,68,51+,Male,South,Premium,Regular,10,48,1231.29,95441,0,28822.27,Medium,Yes,4,54,29,1
C0088,46,36-50,Female,East,Standard,New,6,21,1107.31,58570,2,4461.69,Low,Yes,0,90,40,1
C0089,22,18-25,Female,South,Basic,Regular,4,4,2948.94,13379,0,5033.79,Medium,Yes,3,72,37,1
C0090,56,51+,Male,South,Standard,Regular,18,30,1087.9,50664,0,8076.17,Medium,Yes,5,47,7,0
C0091,38,36-50,Male,West,Standard,Regular,16,17,1825.9,25786,1,3877.31,Low,Yes,5,99,23,1
C0092,42,36-50,Female,West,Basic,New,18,19,2589.11,20658,2,2073.2,Low,Yes,1,74,32,1
C0093,64,51+,Male,North,Basic,Regular,7,45,2221.8,23022,3,3957.21,Low,Yes,5,54,21,0
C0094,47,36-50,Female,South,Basic,Regular,2,23,2307.52,18509,0,7380.78,Medium,Yes,2,95,35,1
C0095,67,51+,Male,West,Premium,New,16,44,2947.11,89587,0,27912.21,Medium,Yes,1,64,32,1
C0096,60,51+,Female,East,Basic,Loyal,12,32,2003.53,27802,1,4959.07,Low,Yes,7,73,25,0
C0097,21,18-25,Female,East,Basic,New,15,3,2015.73,23834,1,3986.32,Low,No,2,52,17,0
C0098,70,51+,Female,South,Basic,Regular,13,42,1753.42,22020,3,5080.57,Medium,No,6,49,36,0
C0099,49,36-50,Male,West,Basic,Regular,2,28,1841.34,21963,0,3085.3,Low,No,2,45,36,0
C0100,41,36-50,Female,West,Standard,Loyal,7,22,1488.95,34474,1,2025.65,Low,No,10,81,21,0
C0101,61,51+,Male,North,Basic,Regular,0,35,1261.37,23089,4,8672.03,Medium,No,6,58,27,0
C0102,21,18-25,Female,East,Premium,Loyal,12,2,878.71,60078,0,7656.28,Low,Yes,6,88,35,1
C0103,40,36-50,Male,South,Standard,Regular,0,14,1215.25,59924,0,9277.15,Low,No,6,51,29,0
C0104,43,36-50,Male,North,Standard,Regular,2,15,1815.98,40556,0,6276.68,Low,Yes,5,61,9,1
C0105,59,51+,Male,East,Standard,New,17,33,2469.57,51831,1,20102.04,Medium,Yes,1,86,38,1
C0106,64,51+,Male,South,Basic,Regular,7,39,3445.29,23122,2,1540.76,Medium,Yes,3,91,45,1
C0107,27,26-35,Female,West,Standard,Loyal,5,6,1437.8,50211,3,14143.16,Medium,Yes,11,64,24,0
C0108,72,51+,Male,North,Basic,Regular,10,48,1554.94,10096,0,3505.1,Medium,Yes,4,81,42,1
C0109,64,51+,Male,South,Standard,New,9,36,3361.22,25624,0,2938.47,Low,No,2,63,15,0
C0110,70,51+,Male,West,Premium,Regular,13,47,3000.0,68548,1,6081.69,High,No,3,51,33,0
C0111,47,36-50,Female,East,Basic,Loyal,17,28,2318.21,14470,2,1443.29,Low,,11,60,29,1
C0112,66,51+,Female,South,Basic,Regular,7,41,1368.31,26230,1,3956.72,Low,Yes,4,65,7,1
C0113,42,36-50,Female,North,Standard,New,9,22,1493.82,25171,1,1898.7,Low,Yes,1,64,14,1
C0114,40,36-50,Male,East,Basic,Regular,10,20,3376.2,13271,0,1534.19,Low,No,3,51,3,0
C0115,68,51+,Female,North,Standard,Regular,11,46,3471.1,28406,1,2434.85,Low,Yes,3,48,3,0
C0116,29,26-35,Female,East,Standard,Regular,14,2,3281.23,46821,0,20449.59,Medium,Yes,2,66,6,1
C0117,25,18-25,Female,West,Standard,Regular,13,1,3568.08,50955,0,18269.69,Medium,Yes,6,73,34,1
C0118,36,36-50,Male,South,Standard,Regular,3,17,2328.72,28827,2,3184.35,Low,Yes,5,96,12,1
C0119,45,36-50,Male,South,Standard,Loyal,2,18,3425.36,52853,0,17548.45,Medium,No,8,91,40,0
C0120,41,36-50,Male,West,Premium,New,14,21,3269.0,78408,1,13932.26,Low,Yes,1,93,4,1
C0121,24,18-25,Male,South,Premium,Regular,9,0,3495.37,81140,0,7608.66,Low,No,6,75,43,1
C0122,33,26-35,Female,East,Basic,Regular,2,14,2883.11,13155,0,3928.99,Medium,Yes,2,62,9,1
C0123,32,26-35,Female,North,Basic,Regular,12,4,3798.76,25594,0,6980.08,Medium,No,6,87,29,1
C0124,23,18-25,Male,North,Standard,Loyal,1,0,3793.98,51963,0,8036.5,Low,Yes,14,51,45,0
C0125,31,26-35,Female,West,Standard,Regular,9,6,2736.44,54026,0,3144.04,Low,No,6,61,9,0
C0126,52,51+,Male,South,Basic,Regular,15,25,3043.65,20332,1,5458.15,Medium,No,6,47,39,0
C0127,64,51+,Female,East,Standard,New,14,45,887.91,25356,0,2215.71,Low,Yes,2,74,32,1
C0128,65,51+,Male,North,Standard,Regular,5,39,2822.51,52256,2,24364.27,High,Yes,2,76,16,1
C0129,21,18-25,Female,South,Basic,Regular,1,1,2264.65,19007,3,8337.75,Medium,Yes,2,65,32,0
C0130,55,51+,Male,West,Standard,Regular,5,28,3529.22,39327,1,4892.38,Medium,No,6,66,14,1
C0131,50,36-50,Male,East,Premium,Regular,13,28,3706.44,88548,1,39585.46,Medium,Yes,5,77,38,1
C0132,46,36-50,Male,North,Standard,New,14,26,2941.24,40729,0,10295.68,Medium,Yes,0,,8,0
C0133,47,36-50,Male,South,Standard,Regular,7,27,1740.23,50572,1,16929.13,Medium,Yes,3,82,7,1
C0134,45,36-50,Male,East,Basic,Regular,3,26,2520.59,18710,0,1265.34,Low,Yes,2,59,32,0
C0135,47,36-50,Female,North,Standard,Regular,8,25,2416.71,56529,0,3310.76,Medium,Yes,6,57,40,1
C0136,43,36-50,Female,South,Standard,New,6,18,2395.1,47184,1,8444.27,Low,,0,46,39,0
C0137,63,51+,Female,West,Standard,Regular,15,37,1475.01,44999,2,5363.16,Low,Yes,6,70,3,1
C0138,69,51+,Male,South,Standard,Loyal,8,51,2913.71,56855,2,25042.97,Medium,Yes,9,94,43,1
C0139,41,36-50,Female,North,Standard,Loyal,16,20,1804.41,59279,1,22219.28,Medium,No,8,79,18,0
C0140,24,18-25,Female,North,Standard,New,15,0,1675.08,45770,1,4890.73,Low,Yes,1,74,43,1
C0141,57,51+,Male,East,Basic,New,2,32,2310.83,10492,1,853.18,Low,Yes,2,83,12,1
C0142,64,51+,Male,East,Standard,Regular,2,40,2581.55,44017,2,3326.41,Low,No,4,63,11,0
C0143,30,26-35,Female,South,Standard,Regular,3,9,3329.57,50464,0,7263.41,Low,No,6,56,22,1
C0144,42,36-50,Female,North,Basic,New,13,16,2019.35,17672,1,1769.59,Low,Yes,2,78,45,0
C0145,67,51+,Female,North,Basic,Loyal,0,40,1679.34,24234,0,7301.18,Medium,No,7,,36,1
C0146,34,26-35,Male,West,Standard,Regular,14,15,1178.49,49009,3,23929.03,High,Yes,3,45,33,0
C0147,25,18-25,Male,West,Premium,Regular,0,2,3448.04,66072,3,10056.48,Low,No,6,63,17,1
C0148,51,51+,Male,East,Basic,Regular,13,25,1366.32,11221,1,8646.57,High,Yes,3,53,43,0
C0149,22,18-25,Female,East,Basic,Regular,4,0,2889.66,24825,1,3907.73,Low,Yes,2,72,30,1
C0150,72,51+,Male,South,Standard,New,2,50,1184.95,50033,0,6827.57,Low,Yes,1,84,21,0
C0151,57,51+,Male,North,Premium,New,1,39,2454.15,84256,0,51544.78,High,No,1,82,43,1
C0152,46,36-50,Female,West,Premium,Regular,5,28,2423.73,66595,0,38261.64,High,No,4,65,45,0
C0153,21,18-25,Female,North,Standard,Regular,1,1,1159.17,54750,0,3488.36,Medium,Yes,5,81,18,0
C0154,28,26-35,Female,East,Basic,New,17,6,3702.7,17304,1,5010.42,Medium,Yes,1,60,23,0
C0155,63,51+,Male,North,Standard,Regular,3,39,1677.87,56005,0,20468.33,Medium,No,2,64,26,1
C0156,52,51+,Female,South,Basic,Regular,7,33,2949.82,23048,0,3748.25,Low,No,2,53,27,0
C0157,29,26-35,Female,East,Standard,Regular,4,9,1269.77,44374,0,4627.2,Medium,Yes,2,68,19,1
C0158,40,36-50,Male,West,Standard,Regular,9,15,1149.41,42609,2,2343.79,Low,No,2,90,13,0
C0159,58,51+,Male,East,Standard,Loyal,8,30,2103.54,41149,4,15229.77,Medium,Yes,10,90,11,1
C0160,60,51+,Female,North,Premium,Regular,9,33,1243.03,63211,1,5408.49,Low,No,2,,25,0
C0161,37,36-50,Male,West,Standard,Loyal,16,10,2023.45,39199,0,1962.94,Low,No,9,84,5,1
C0162,43,36-50,Male,East,Standard,New,14,18,2829.25,55069,0,8714.68,Low,Yes,1,61,26,0
C0163,61,51+,Female,South,Premium,New,14,40,918.02,52392,1,5704.53,Medium,No,2,91,4,1
C0164,65,51+,Female,West,Standard,Regular,0,42,2862.08,32793,1,7396.82,High,No,4,84,25,1
C0165,25,18-25,Male,West,Standard,Regular,3,7,3545.78,52713,2,8510.07,Low,Yes,6,85,22,0
C0166,43,36-50,Female,South,Standard,Regular,2,23,2892.92,36985,0,6106.63,Low,Yes,4,52,36,0
C0167,34,26-35,Female,East,Standard,Loyal,18,6,2608.15,41177,3,7940.99,High,Yes,8,66,5,0
C0168,49,36-50,Female,East,Premium,Regular,6,27,3460.81,67786,0,26411.37,Medium,Yes,3,98,30,1
C0169,38,36-50,Male,South,Standard,Regular,4,13,2941.18,48209,0,9121.28,Medium,Yes,6,80,33,1
C0170,59,51+,Male,East,Basic,New,3,39,1976.46,15291,0,1302.67,Low,Yes,0,88,12,1
C0171,40,36-50,Female,West,Basic,Regular,12,17,2171.18,20146,0,3511.44,Low,No,4,92,38,0
C0172,40,36-50,Female,North,Standard,Loyal,6,18,1354.24,47633,0,8971.92,Medium,Yes,14,73,23,1
C0173,25,18-25,Male,South,Premium,Regular,13,0,1008.37,96325,0,11911.27,Low,No,5,86,30,1
C0174,27,26-35,Female,North,Premium,Loyal,14,1,3008.37,90457,3,34643.71,High,Yes,12,91,30,1
C0175,53,51+,Male,West,Premium,New,10,27,3635.56,68364,0,4002.25,Low,No,0,45,42,0
C0176,42,36-50,Male,West,Standard,New,7,17,3610.22,39608,0,7298.66,Medium,No,0,86,25,1
C0177,35,26-35,Female,East,Standard,Regular,5,9,3753.93,50269,0,8299.67,Low,Yes,6,63,43,0
C0178,71,51+,Male,North,Standard,New,5,43,1945.77,49809,1,5988.24,Medium,Yes,1,90,24,1
C0179,68,51+,Male,East,Standard,New,6,48,2665.72,50780,0,6673.4,Low,No,1,79,2,1
C0180,30,26-35,Male,South,Standard,Regular,7,4,2048.51,43910,2,8821.12,High,Yes,2,91,16,1
C0181,67,51+,Male,West,Basic,Regular,11,47,2374.03,22842,0,1243.97,Low,Yes,6,60,24,0
C0182,62,51+,Male,North,Basic,Loyal,14,38,3510.98,20439,0,14404.99,High,Yes,7,,18,1
C0183,71,51+,Male,West,Basic,Regular,3,45,2408.49,17040,1,1038.62,Low,No,4,81,5,0
C0184,38,36-50,Female,West,Standard,Regular,9,13,2606.41,55174,0,3728.15,Low,Yes,2,60,37,1
C0185,38,36-50,Male,North,Premium,Loyal,15,15,2653.76,91136,0,39194.34,Medium,Yes,7,92,40,1
C0186,35,26-35,Female,East,Standard,Loyal,10,9,3674.27,41779,0,6993.32,Medium,Yes,9,55,39,0
C0187,51,51+,Male,East,Basic,Loyal,12,26,3693.87,25353,0,10359.9,Medium,Yes,8,89,21,1
C0188,59,51+,Male,West,Premium,Loyal,6,37,3005.72,82939,2,7613.97,Low,No,13,56,18,1
C0189,55,51+,Female,North,Basic,New,14,31,1665.06,27664,1,10547.46,Medium,Yes,2,83,11,0
C0190,66,51+,Male,East,Standard,Regular,11,40,1674.86,29887,1,3273.31,Medium,No,6,92,41,1
C0191,27,26-35,Male,West,Premium,Regular,7,2,2470.44,86796,2,33265.19,Medium,Yes,6,47,13,1
C0192,24,18-25,Male,West,Standard,Regular,6,2,3579.76,58125,0,5429.56,Low,No,2,69,21,0
C0193,38,36-50,Male,West,Basic,Regular,18,20,942.97,13855,1,1982.13,Medium,No,2,55,36,0
C0194,24,18-25,Male,East,Standard,Loyal,16,0,2876.27,40180,1,3267.17,Medium,No,6,66,25,0
C0195,32,26-35,Female,South,Basic,Regular,18,9,1868.6,15793,1,1181.7,Low,,3,80,4,0
C0196,61,51+,Female,South,Basic,New,10,39,2027.6,14146,0,4465.26,High,Yes,2,80,25,1
C0197,55,51+,Male,North,Premium,Regular,17,37,3300.55,97372,0,10078.52,Medium,Yes,5,81,38,1
C0198,56,51+,Female,East,Premium,Regular,12,35,2212.01,86918,2,13193.88,Low,No,6,52,6,0
C0199,46,36-50,Male,South,Premium,Regular,10,24,3368.58,96012,0,12404.21,Low,Yes,6,47,30,1
C0200,21,18-25,Male,West,Basic,Loyal,5,0,2932.55,18509,0,956.32,Low,Yes,14,79,11,1
C0201,63,51+,Female,East,Standard,Regular,12,41,1503.45,27362,0,1951.81,Low,,4,88,29,1
C0202,44,36-50,Male,East,Standard,Loyal,11,18,2806.56,27622,1,7022.27,High,No,14,54,20,1
C0203,45,36-50,Male,South,Standard,Regular,4,17,1642.45,46070,2,12702.27,Medium,Yes,6,95,13,1
C0204,71,51+,Female,West,Premium,Loyal,1,47,1796.81,52864,2,10809.99,High,,13,59,12,1
C0205,43,36-50,Male,North,Standard,Loyal,13,21,1219.51,33725,1,1770.5,Low,No,12,93,15,0
C0206,34,26-35,Female,North,Standard,Regular,0,14,3604.84,38761,0,2464.66,Medium,Yes,2,86,24,1
C0207,62,51+,Male,South,Standard,Regular,13,37,2049.59,54852,1,7057.17,Low,Yes,6,49,25,1
C0208,32,26-35,Male,East,Premium,New,16,7,3332.33,68637,0,10097.53,Low,No,0,85,10,0
C0209,56,51+,Female,North,Standard,Loyal,18,31,2970.37,41675,1,2300.8,Low,No,11,,24,1
C0210,35,26-35,Female,North,Basic,New,18,16,856.18,27888,0,2504.76,High,Yes,2,91,41,1
C0211,70,51+,Male,South,Standard,New,17,45,3186.7,55436,0,6858.62,Low,Yes,1,77,37,1
C0212,19,18-25,Female,West,Premium,Loyal,1,0,2388.26,52555,4,8721.9,Medium,Yes,12,46,6,0
C0213,47,36-50,Male,East,Basic,Regular,14,28,1082.39,17748,0,,Low,Yes,6,73,44,1
C0214,47,36-50,Male,East,Standard,Loyal,1,25,2262.21,43231,0,10354.48,Medium,Yes,12,86,28,1
C0215,70,51+,Female,East,Standard,Regular,17,45,2909.02,58373,0,7261.29,High,Yes,2,53,29,1
C0216,26,26-35,Male,South,Basic,Loyal,13,1,2151.16,14619,0,3940.18,Medium,Yes,6,65,37,1
C0217,34,26-35,Male,North,Basic,Regular,3,16,3511.24,21573,1,5287.88,High,Yes,5,48,37,0
C0218,26,26-35,Female,North,Standard,Loyal,14,1,1361.29,30793,1,10631.57,High,No,8,52,29,0
C0219,30,26-35,Male,South,Standard,Loyal,12,2,1801.62,29556,4,9476.06,Medium,Yes,14,85,8,0
C0220,37,36-50,Male,North,Standard,Loyal,8,17,957.36,52004,1,4662.06,Low,No,11,83,31,1
C0221,65,51+,Female,East,Basic,Regular,17,37,1036.79,20083,4,3180.82,Low,Yes,4,74,14,0
C0222,36,36-50,Female,West,Premium,New,5,15,3601.54,60193,0,32795.86,High,Yes,2,57,36,0
C0223,51,51+,Male,West,Standard,New,1,24,2455.22,35236,0,,High,Yes,0,81,11,1
C0224,34,26-35,Female,South,Standard,Loyal,3,11,1416.65,50918,0,7250.78,Medium,Yes,11,45,3,1
C0225,46,36-50,Male,West,Standard,Regular,0,22,3215.2,51179,0,11142.07,Medium,Yes,3,70,37,1
C0226,25,18-25,Male,East,Basic,New,13,5,1023.6,13366,2,4564.36,Medium,No,1,82,28,0
C0227,41,36-50,Male,West,Standard,Loyal,10,22,2755.75,42508,0,25925.69,High,No,14,56,33,0
C0228,65,51+,Female,East,Standard,Regular,7,37,1052.31,46028,1,3842.28,Low,No,6,85,18,0
C0229,36,36-50,Female,North,Standard,New,12,16,3459.86,54024,0,8004.59,Low,No,1,60,17,0
C0230,22,18-25,Female,East,Basic,Loyal,18,0,2188.75,26927,1,2515.41,Medium,No,13,61,8,0
C0231,26,26-35,Female,East,Basic,Regular,14,7,3421.41,15592,2,2313.02,Low,Yes,3,88,42,1
C0232,24,18-25,Male,North,Standard,Regular,15,2,1659.36,50902,0,22878.51,Medium,Yes,2,93,19,0
C0233,38,36-50,Female,South,Basic,Regular,14,18,2486.78,12589,2,1103.0,Low,No,5,98,8,1
C0234,39,36-50,Male,West,Premium,Regular,4,17,1897.99,74007,0,8778.9,Medium,Yes,5,48,39,1
C0235,39,36-50,Female,West,Standard,Regular,5,14,1732.73,49824,1,5912.63,Medium,No,3,77,18,0
C0236,35,26-35,Male,North,Basic,New,11,11,1464.88,19588,0,6160.49,Medium,No,0,52,5,0
C0237,25,18-25,Male,North,Standard,Regular,9,3,2518.65,49009,0,3022.95,Low,,4,51,33,1
C0238,67,51+,Female,West,Standard,New,12,42,879.58,32100,0,4966.52,Low,Yes,0,79,21,1
C0239,59,51+,Female,East,Basic,Regular,11,34,1594.72,21766,0,2507.17,Low,Yes,2,52,26,0
C0240,29,26-35,Male,East,Premium,Loyal,17,2,2574.61,72428,0,46254.73,High,Yes,14,89,39,1
C0241,21,18-25,Male,West,Premium,Regular,0,0,2437.68,54288,0,7001.24,Low,No,2,72,20,1
C0242,36,36-50,Male,West,Premium,Loyal,13,18,1185.98,59079,0,38131.83,High,No,10,69,35,1
C0243,61,51+,Female,West,Basic,New,0,34,2408.72,25697,3,3074.18,Medium,Yes,1,70,15,0
C0244,67,51+,Female,North,Basic,New,4,39,3794.12,18067,0,6226.27,Medium,Yes,0,100,32,0
C0245,26,26-35,Male,South,Standard,New,8,6,2905.84,31513,3,11469.0,Medium,No,0,78,26,0
C0246,22,18-25,Female,West,Basic,Loyal,10,1,961.89,17139,3,911.48,Low,Yes,13,60,35,1
C0247,62,51+,Male,East,Premium,New,17,36,2359.02,70688,0,41632.85,High,Yes,2,98,44,1
